;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
12;Subject_160123;0.7029889426992085;0.18621660667817494;0.0007930408204326592;0.0003112019137070904;0.0004139326685126271;0.0003751708930223746;0.0015512571242727237;0.0002807962825621274;29.04
13;Subject_160729;0.6629487580948804;0.19586099192878298;0.0008561019004610853;0.00030862657474253714;0.00048698275873903184;0.00038325129521585337;0.0015943401839051928;0.00025129160245198576;28.74
14;Subject_160830;0.6448445260198525;0.20014869977261743;0.0008263680956406533;0.00032228503750011115;0.0004876542433061914;0.0003872824409805117;0.0015037958003095771;0.0002707358324604042;30.82
15;Subject_160931;0.6654940879481254;0.17554081169074945;0.0007961654508498442;0.00022900228477491176;0.00043353743064056727;0.00029396629491175284;0.0015214214912683982;0.00024500776309502195;31.61
16;Subject_161327;0.6675855117666302;0.1848320045062128;0.0007963733797537092;0.0002424756239763333;0.00044035671741042196;0.00030234983491166665;0.001508406704440284;0.0002303925697475868;32.52
17;Subject_161630;0.6884450127964;0.1662449591954627;0.000797849271554327;0.0003733034170630219;0.0004412092183110037;0.00041919203002292716;0.0015111293780409735;0.00031758886976878596;36.54
18;Subject_161731;0.7004581425789976;0.19162437737735832;0.0008137910994059908;0.000307917092617211;0.0004289834949751917;0.0003782688886058546;0.001583406308267589;0.00024298438641659286;30.73
19;Subject_161832;0.686500854665321;0.19404575340112917;0.0008337464187486651;0.000340728067516056;0.00045567473364736187;0.00040653626431170375;0.0015898897889512719;0.0002994653380783662;28.8
20;Subject_162026;0.7049583321337001;0.2111609774187595;0.0007816011162012937;0.0002696930471479681;0.0004019844517055157;0.0003473144496103706;0.0015408344451928499;0.00025039758931745597;29.33
21;Subject_162228;0.7703781113801194;0.18643649019517494;0.000755558985418778;0.00026367591650212967;0.000333072577296167;0.00032707820371886465;0.001600531801664;0.0002578434862823954;28.23
22;Subject_162329;0.7530350209185841;0.19362167768607275;0.0008015736656368708;0.0002883129959648724;0.0003652122530329253;0.0003620427332504784;0.0016742964908447618;0.0002899651261300549;27.48
23;Subject_162733;0.7619867479919565;0.18778181344596845;0.000798303506731274;0.0003040551872729219;0.0003603436167632466;0.0003727934198616631;0.001674223286667329;0.0002867243812997592;28.05
24;Subject_162935;0.6659305634212915;0.18846155800080824;0.0009407092568054526;0.00033996732423650716;0.0005320069731085716;0.0004129497356000354;0.001758113824199215;0.0002796741268997071;27.92
25;Subject_163129;0.6840333367100364;0.17476427535766426;0.0007892802138023935;0.00029080853233697895;0.00043005958975849274;0.0003472719080852942;0.0015077214618901952;0.00025148691273788536;31.25
26;Subject_163331;0.6572294136772104;0.190380037048061;0.0007459893506997454;0.00019898126432536516;0.0004154618123679682;0.0002687436428385475;0.0014070444273632996;0.00020254988330550036;29.96
27;Subject_163432;0.6638298068230472;0.18309674634149548;0.0008341678395971803;0.00023404636537302197;0.0004586277361034366;0.0003067121960634827;0.0015852480465846678;0.0002474481310574963;30.67
28;Subject_163836;0.6678939267671075;0.16600658144285038;0.0008022509426980341;0.00018665455224662592;0.0004385065617027432;0.00024596669506891976;0.0015297397046886158;0.00019475228868367193;27.39
29;Subject_164030;0.7426783619250623;0.16648768388268284;0.0007528293293635617;0.0002640339133848643;0.0003611127592205233;0.00032370257508087575;0.0015362624696496389;0.00021000330678061724;28.84
30;Subject_164131;0.7104561818711583;0.20490401884643222;0.000838932022777734;0.0003584659029006107;0.00044429371578980184;0.00043250384692364454;0.0016282086367535988;0.0002656990179068555;27.88
31;Subject_164636;0.6952437356589424;0.17996202093919117;0.0008176315998619715;0.00020113507802874172;0.00041527454181016296;0.00026879140080534025;0.0016223457159655883;0.00027717149459047095;31.31
32;Subject_164939;0.7107711511293756;0.17162993640088547;0.0008017816199451138;0.00031341819374049743;0.0004160283909241638;0.00036426887460032093;0.0015732880779870137;0.0002878792183481685;28.24
33;Subject_165032;0.6691951186336578;0.17058076283916723;0.0008250245996656707;0.00032130120441793946;0.0004658137129840779;0.00036359663395711797;0.0015434463730288563;0.0002928490077088682;26.75
34;Subject_165436;0.6902519927943654;0.16917226018987905;0.000835797105543691;0.0002767457447932073;0.0004445776059368944;0.00033708075739740143;0.001618236104757284;0.0002453795884424719;26.17
35;Subject_165638;0.7192010857453677;0.19465881978418692;0.0007790713452187845;0.0002760455559533575;0.0003866888445033019;0.00034035769552239907;0.0015638363466497498;0.000291143795684948;31.08
36;Subject_165840;0.7188094474011052;0.16040843348129355;0.0007193803567683303;0.00020867333353558642;0.00035912297486493647;0.0002557078060434621;0.0014398951205751177;0.00020403813736186727;26.48
